alt_prod_price,category_name,from_the_manufacturer,long_product_description,product_description,product_image,product_main_price,product_name,product_page,product_price,product_reviews
,"
                Office Products
            ,
                 Office Electronics
             ","
            Perfect for small or home offices, the Brother HL-L2350DW monochrome laser printer delivers class-leading print speeds up to 32ppm (1) along with wireless networking. Flexible paper handling choices include an up to 250-sheet capacity paper tray and manual feed slot. Offers WiFi printing from compatible mobile devices (2) for added convenience.
        ","Designed for the busy home business or small business owner, the new Brother HL L2350DW compact laser printer is an exceptional business printing solution. Engineered with the latest technology, this compact, yet highly diverse laser printer delivers class leading printing speeds of up to 32 pages per minute. It also has automatic duplex (two sided) printing capability, making dual sided printing simple, fast, and efficient. The 250 sheet paper capacity allows busy business owners to improve efficiency and reduce downtime with less paper refills needed.,Quality is enhanced by using Brother Genuine high yield replacement cartridges (TN 760) which can help to reduce operational costs (also compatible with TN 730 replacement toner cartridge). The new compact laser printer from Brother can print on both letter and legal sized paper. It is also infused with modern wireless technology that will permit you to print from smartphones, laptops, tablets, or desktop devices. Also, a built in wireless or USB interface offers users the flexibility to send multiple print jobs to the Brother HL L2350DW at the same time.,Brother is dedicated to superior customer service and stands by our products by offering a 1 year limited warranty on this new compact laser printer. We provide free online, call, or live chat support for the life of your printer. At Brother, we want to ensure that your experience with us is exceptional. If you have been looking for an exceptional compact laser printer with fast printing capacity and multiple user friendly features, add the Brother HL L2350DW to your Amazon shopping cart today.,(1) Based on competing in class monochrome laser printers under 200 dollars. Print speed specifications gathered from manufacturer websites as of 1/9/2017.(2) Requires connection to a wireless network.(3) TN 760 High Yield vs. TN 730 Standard Yield. Up to two times more prints and lower printing costs based on yields and MSRP. Standard Yield and High yield cartridges sold separately.(4) Approx. toner cartridge yield in accordance with ISO/IEC 19752 (letter/A4).(5) Reprinted from PCMag with permission. Copyright 2017 Ziff Davis, LLC. All Rights Reserved.(6) Approx. 300 pages per month in accordance with ISO/IEC 19752 (Letter/A4) using the 2 toners provided in box.(7) The mobile device must have NFC capability and run Android OS 4.4 or later. Supported Network Protocols (IPv4): ARP, RARP, BOOTP, DHCP, APIPA (Auto IP), WINS/NetBIOS Name Resolution, DNS Resolver, mDNS, LLMNR Responder, LPR/LPD, Custom Raw Port/Port 9100, IPP, FTP Server, SNMPv1/v2c/v3, HTTP Server, TFTP Client and Server, SMTP Client, ICMP, Web Services (Print/Scan), Supported Network Protocols (IPv6): NDP, RA, DNS Resolver, mDNS, LLMNR Responder, LPR/LPD, Custom Raw Port/Port 9100, IPP, FTP Server, SNMPv1/v2c/v3, HTTP Server, TFTP Client and Server, SMTP Client, ICMPv6, LLTD Responder, Web Services (Print/Scan). ","
, ,
,by entering your model number.,
,
,
Print more, wait less. Engineered for increased efficiency with class leading print speeds of up to 32 pages per minute1.

,
Dynamic features accommodate your evolving needs. The 250-sheet paper capacity helps improve efficiency with less refills and handles letter or legal sized paper.

,
Flexible printing. The manual feed slot offers flexible paper handling for a variety of papers and sizes, such as card stock, envelopes, etc. to help you create professional looking documents.

,
Printing as mobile as you are. Print wirelessly from your desktop, laptop, smartphone and tablet2.

,
Connect your way. Versatile connection options with built-in wireless or connect locally to a single computer via its USB interface.

",https://images-na.ssl-images-amazon.com/images/I/71ryWtmAATL._AC_SL1500_.jpg,$119.99,"







Brother Compact Monochrome Laser Printer, HL-L2350DW, Wireless Printing, Duplex Two-Sided Printing, Amazon Dash Replenishment Ready






",https://www.amazon.com/Brother-Monochrome-HL-L2350DW-Two-Sided-Replenishment/dp/B0763WDSYZ/ref=sr_1_13?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-13,"New & Used (11) from, ,$119.99,Compare with similar items",4.2 out of 5 stars
,"
                Electronics
            ,
                 Headphones
             ",,,"
EXCLUSIVE SPORT PACK - Includes Aeropex bone conduction headphones and sport belt Unlike traditional headphones that send sound through the ear canals our patented bone conduction technology delivers audio through the cheekbones With nothing inside or over your ears enjoy total awareness and comfort while you listen

,
BEST SOUND YET - Re-engineered for optimal sound delivery Aeropex have broken the mold of bone conduction technology Enjoy louder volume 50% less sound leakage and wide dynamic stereo sound with PremiumPitch 2 0+

,
LONGEST BATTERY LIFE - Enjoy 8 continuous hours of audio while you tackle your goals Magnetic charging cables charge the headphones in 2 hours 10 day standby time

,
IP67 RATED - Completely sweat and waterproof Aeropex are designed for tough workouts and adventures in the most extreme weather conditions Moisture detection alert included for safe charging (Bluetooth headphones not suitable for swimming )

,
LIGHTEST AFTERSHOKZ TO DATE - Weighing less than 1 ounce (26g) experience unrivaled comfort for all-day listening

",https://images-na.ssl-images-amazon.com/images/I/51y5KeqekJL._AC_SL1441_.jpg,$159.95,"







AfterShokz Aeropex Open-Ear Wireless Bone Conduction Headphones with Sport Belt, Lunar Grey






",https://www.amazon.com/AfterShokz-Open-Ear-Wireless-Conduction-Headphones/dp/B07RQLRV7Q/ref=sr_1_24?fst=as%3Aoff&qid=1599646125&rnid=16225009011&s=electronics&sr=1-24,Compare with similar items,4.6 out of 5 stars
,"
                Electronics
            ,
                 Accessories & Supplies
             ","
            Keep everyday devices powered up with this pack of AA 1.5-volt performance alkaline batteries from AmazonBasics. The reliable batteries work with a wide range of devices, including game controllers, toys, flashlights, digital cameras, alarm clocks, and more.
        ,
            The batteries deliver the right amount of power for the specific device, which translates to optimal efficiency and a long-lasting discharge.
        ,
            Note: these batteries are NOT rechargeable; for rechargeable batteries check out AmazonBasics’ rechargeable line.
        ","AmazonBasics AA 1.5 Volt Performance Batteries hold power for up to 10 years in storage under normal use making them a great choice to stock for emergency use, as well as to power everyday devices. Our alkaline batteries perform as good or better than top branded batteries - their design prevents leakage, heat build up and corrosion to make them safer, while adapting power flow to the needs of the device making them suitable for both high and low drain devices. Power emergency and outdoor devices, game controllers, remote controls, toys, radios and more. An Amazon Brand.

","
AA 1.5-volt performance alkaline batteries for reliable performance across a wide range of devices

,
10-year leak-free shelf life; air- and liquid-tight seal locks in the power until it’s needed thanks to the improved design, which includes dual crimps, a new zinc composition, and anti-corrosion components

,
Delivers the amount of power needed for a specific device; ideal for game controllers, toys, flashlights, digital cameras, clocks, and more

,
Ships in Certified Frustration-Free Packaging; backed by an AmazonBasics 1-year limited warranty

,
Note: these batteries are NOT rechargeable. For reusable options, check out AmazonBasics rechargeable batteries

,
To learn more about recycling single-use batteries, simply copy/paste this link into your browser: call2recycle.org/what-can-i-recycle

",https://images-na.ssl-images-amazon.com/images/I/71UyNLSv2mL._AC_SL1348_.jpg,$15.49,"







AmazonBasics 48 Pack AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack






",https://www.amazon.com/AmazonBasics-Performance-Alkaline-Batteries-Count/dp/B00MNV8E0C/ref=sr_1_1?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-1,Compare with similar items,4.5 out of 5 stars
"
$148.00
","
                Office Products
            ,
                 Office Electronics
             ",,"Advanced graphing handheld calculator with full-color display, TI Rechargeable Battery and licensed TI-Inspire CX Student Software.

","
, ,
,by entering your model number.,
,
,
High-resolution, full-color backlit display. The screen size is 320 x 240 pixels (3.5 inches diagonal) and the screen resolution is 125 DPI; 16-bit color

,
Rechargeable battery included. Can last up to two weeks on a single charge

,
Handheld-Software Bundle. Includes the TI-Inspire CX Student Software delivering enhanced graphing capabilities and other functionality.

,
Thin Design and lightweight with easy touchpad navigation

",https://images-na.ssl-images-amazon.com/images/I/611Z2wuMg9L._AC_SL1000_.jpg,$130.49,"







Texas Instruments TI-Nspire CX II Color Graphing Calculator with Student Software (PC/Mac)






",https://www.amazon.com/TI-Nspire-Graphing-Calculator-Student-Software/dp/B07SDG5719/ref=sr_1_14?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-14,"New & Used (6) from, ,$130.49",4.7 out of 5 stars
,"
                Electronics
            ,
                 Headphones
             ",,,"
EXCLUSIVE SPORT PACK - Includes Aeropex bone conduction headphones and sport belt. Unlike traditional headphones that send sound through the ear canals, our patented bone conduction technology delivers audio through the cheekbones. With nothing inside or over your ears, enjoy total awareness and comfort while you listen.

,
BEST SOUND YET - Re-engineered for optimal sound delivery, Aeropex have broken the mold of bone conduction technology. Enjoy louder volume, 50% less sound leakage and wide dynamic stereo sound with PremiumPitch 2. 0+.

,
LONGEST BATTERY LIFE - Enjoy 8 continuous hours of audio while you tackle your goals. Magnetic charging cables charge the headphones in 2 hours. 10 day standby time.

,
IP67 RATED - Completely sweat and waterproof, Aeropex are designed for tough workouts and adventures in the most extreme weather conditions. Moisture detection alert included for safe charging. (Bluetooth headphones not suitable for swimming. )

,
LIGHTEST AFTERSHOKZ TO DATE - Weighing less than 1 ounce (26g), experience unrivaled comfort for all-day listening.

",https://images-na.ssl-images-amazon.com/images/I/51Rezr7RSSL._AC_SL1441_.jpg,$159.95,"







AfterShokz Aeropex Open-Ear Wireless Bone Conduction Headphones with Sport Belt, Cosmic Black, 2.3






",https://www.amazon.com/AfterShokz-Open-Ear-Wireless-Conduction-Headphones/dp/B07RRQ59JR/ref=sr_1_24?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-24,Compare with similar items,4.6 out of 5 stars
,"
                Electronics
            ,
                 Home Audio
             ",,"Freedom perfected in a truly wireless design, with industry leading noise canceling powered by Sony’s proprietary HD Noise Canceling Processor QN1e. Form meets function with up to 24 total hours of battery life with quick charging, touchpad controls, premium sound quality, and smart features like Wearing Detection and Quick Attention Mode. Driver Unit: 0.24 "", dome type (CCAW Voice coil).

","
, ,
,by entering your model number.,
,
,
Industry leading noise canceling with HD noise canceling processor QN1e

,
24bit Audio signal processing delivers dramatically improved sound quality

,
Battery life up to 24 hours with carrying case (with 10min quick charge for 90min of play time)

,
Easy and clear hands free calling; Leave your phone where it is, just speak with a double tap to the earbud

,
Truly wireless design with uninterrupted L/R simultaneous Bluetooth transmission

,
Alexa enabled for voice access to music, information, and more. Activate with a simple touch.

,
In the box: Charging case, triple comfort earbuds (S, M, L × 2) long hybrid silicone rubber earbuds (stainless, S, M, L × 2), card, operating instruction, Reference guide, USB type C cable (Approx. 20 centimeter)

",https://images-na.ssl-images-amazon.com/images/I/61D4cUIe0bL._AC_SL1500_.jpg,$228.00,"







Sony WF-1000XM3 Industry Leading Noise Canceling Truly Wireless Earbuds Headset/Headphones with Alexa Voice Control And Mic For Phone Call, Silver






",https://www.amazon.com/Sony-WF-1000XM3-Industry-Canceling-Wireless/dp/B07TD96LY2/ref=sr_1_24?fst=as%3Aoff&qid=1599646125&rnid=16225009011&s=electronics&sr=1-24,"New & Used (6) from, ,$109.98,Compare with similar items",4.1 out of 5 stars
,"
                Electronics
            ,
                 Headphones
             ",,"TaoTronics - Technology Enhances Life ,TaoTronics, a flagship brand under the Sunvalley group, is dedicated to providing superior-quality, reasonably priced electronic products that improve the lives of our customers. We strive to develop, innovate and focus on utilizing the latest technology with easy-to-use devices for customers to work remotely, telecommute or study from home. ,Technical Specifications: ,Bluetooth Version: 5. 0 ,Bluetooth Range: up to 10m/33ft ,Charging Time: 2 hours ,Net Weight: 2. 8oz ,Size: 6. 4 x 6. 3 x 2. 4 in/163. 7 x 160. 78 x 61. 6mm ,What’s in the Box: ,1 x TaoTronics Wireless Mono Headset ,1 x Micro-USB Charging Cable (Charging Dock No need) ,1 x User Guide (USB Dongle is not contained),How to connect headset with your computer, please follow the below steps: ,1. Long press the multifunction button of the headset to turn it on ,2. Turn on the bluetooth of your computer ,3. Add device and choose bluetooth audio device ,4. Find ""TaoTronics TT-BH041"" and conntect it ,5. If the headset has no sound or the mic doesn't work, pls make sure that the default audio device is TT-BH041 of the Audio Options ,Notice: ,1. Overvoltage may damage battery so pls use 5V Charger Only. ,2. Please fully charge before the headset not using for a long time. ,3. Only allows computer which has Bluetooth function. ,4. Poor sound quality and bluetooth connection occur sometimes when hardware and Bluetooth Driver are not updated to the latest version (laptops with some bands ). ,Please try to update the sound card and Bluetooth Driver to the latest version (Driver to download: taotronics /products/tt-bh041-trucker-bluetooth-headset)or use with USB Bluetooth Dongle. (Dongle to buy on : /dp/B0891W9DFV) ,If it still can not work, please kindly contact our support at any time 5. The headset is not compatible with PS4 and XBOX.

","
Perfect Choice for Working or Studying from Home: with AI Noise Reduction Technology, TaoTronics BH041 is the world’s first AI noise cancelling headset, slashing background noise up to 40dB, be heard clearly in noisy situations

,
Advanced QCC3020 Chipset: Bluetooth 5. 0 headset with QCC3020 chipset for fast & stable signal transmission; freedom to pair with two Bluetooth devices simultaneously

,
34 Hours Playtime: Wireless earphones provides up to 34 hours continuous talking on a single full charge, always ready to answer or make a hands-free calls

,
All Day Comfort: 2. 8oz lightweight headset with adjustable headband fits any head shape; soft earpad & anti-slip pad stays securely in place for all-day comfort

,
Easy Control: Mute your voice with the mute button, redial/answer/reject/end/transfer calls with the multifunction button & adjust call volume with the “+” or “-” button; Poor sound quality and bluetooth connection occur sometimes when hardware and Bluetooth Driver are not updated to the latest version (laptops with some bands ). Please try to update the sound card and Bluetooth Driver to the latest version or use with USB Bluetooth Dongle. If still cannot work, please kindly contact our support

,
Included components: 1 x TaoTronics Wireless Mono Headset 1 x Micro-USB Charging Cable (Charging Dock No need) 1 x User Guide

",https://images-na.ssl-images-amazon.com/images/I/51f69IpWGhL._AC_SL1300_.jpg,$42.49,"







TaoTronics Trucker Bluetooth Headset with Microphone, Wireless Cell Phone Headset Noise Cancelling Mic, On Ear Bluetooth Headphones Bluetooth 5.0 34H for Home Office Online Class PC Call Center Skype






",https://www.amazon.com/TaoTronics-Bluetooth-Microphone-Cancelling-Headphones/dp/B081Q5RCMV/ref=sr_1_23?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-23,Compare with similar items,4.3 out of 5 stars
"
$119.00
","
                Electronics
            ,
                 GPS, Finders & Accessories
             ",,"Wherever you’re going, have a smoother trip with Garmin Drive. This dedicated GPS navigator includes innovative driver alerts to help increase your situational awareness and preloaded travel points of interest from TripAdvisor to help find everything you need along the way. The future is on your Garmin. Just look ahead and drive.

","
Easy to use dedicated GPS navigator with bright 5.0 inch dual orientation display

,
Preloaded with lifetime maps of the U.S

,
Driver alerts for dangerous curves, speed changes, speed cameras, railroad crossings, animal crossings and more.Display resolution:480 x 272 pixels

,
TripAdvisor ratings for travel points of interest (POIs) such as hotels, restaurants and attractions

,
Garmin Real Directions feature guides like a friend, using recognizable landmarks, buildings and traffic lights

",https://images-na.ssl-images-amazon.com/images/I/81sGn2OdrrL._AC_SL1500_.jpg,$91.25,"







Garmin Drive 51 USA LM GPS Navigator System with Lifetime Maps, Spoken Turn-By-Turn Directions, Direct Access, Driver Alerts, TripAdvisor and Foursquare Data






",https://www.amazon.com/Garmin-Navigator-Directions-TripAdvisor-Foursquare/dp/B01NBM6JUV/ref=sr_1_11?dchild=1&fst=as%3Aoff&qid=1599646123&rnid=16225009011&s=electronics&sr=1-11,"New & Used (4) from, ,$73.00",4.3 out of 5 stars
,"
                Electronics
            ,
                 Electronics
             ",,"Easily store and access 2TB of content on the go with the Seagate Portable Drive, a great laptop hard drive. Designed to work with Windows or Mac computers, this compact external hard drive makes backup a snap. Just drag and drop To get set up, connect the portable hard drive to a computer for automatic recognition—no software required—and enjoy plug and play simplicity with the included 18 inch USB 3.0 cable.

","
, ,
,by entering your model number.,
,
,
Easily store and access 2TB to content on the go with the Seagate Portable Drive, a USB external hard drive

,
Designed to work with Windows or Mac computers, this external hard drive makes backup a snap just drag and drop

,
To get set up, connect the portable hard drive to a computer for automatic recognition no software required

,
This USB drive provides plug and play simplicity with the included 18 inch USB 3.0 cable

,
Enjoy long term peace of mind with the included 1 year limited warranty

",https://images-na.ssl-images-amazon.com/images/I/81tjLksKixL._AC_SL1500_.jpg,$59.99,"







Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC, Mac, PS4, & Xbox (STGX2000400)






",https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_9?dchild=1&fst=as%3Aoff&qid=1599646123&refinements=p_n_condition-type%3A2224371011&rnid=2224369011&s=electronics&sr=1-9,Compare with similar items,4.7 out of 5 stars
,"
                Electronics
            ,
                 Electronics
             ",," ,Powerful and portable, Roku Streaming Stick+ is super charged with a long range wireless receiver for 4x the range and brilliant HD, 4K, and HDR picture quality. You’ll enjoy a stronger signal for smooth streaming even in rooms farther from your router., ,The included voice remote features buttons to turn on your TV, control the volume, mute, and search across channels with your voice. With easy access to free TV, live news, sports, movies, and more on hundreds of free channels, there’s plenty to enjoy without spending extra.","
New! Disney+ and Apple TV are now streaming on all Roku devices

,
Wireless that goes the distance: Basement rec room? Backyard movie night? Bring ‘em on. The long-range wireless receiver gives you up to 4x the range and a stronger signal for smooth streaming even in rooms farther from your router

,
Brilliant picture quality: Experience your favorite shows with stunning detail and clarity—whether you’re streaming in HD, 4K, or HDR, you’ll enjoy picture quality that’s optimized for your TV with sharp resolution and vivid color

,
Tons of power, tons of fun: Snappy and responsive, you’ll stream your favorites with ease—from movies and series on Apple TV, Prime Video, Netflix, to cable alternatives like Sling, enjoy the most talked-about TV across thousands of channels

,
No more juggling remotes: Power up your TV, adjust the volume, mute, and control your streaming all with one remote—use your voice to quickly search across channels, turn captions on, and more in a touch

,
Setup is a cinch: Plug it in, connect to the internet, and start streaming—it’s that simple

,
Private listening on mobile: Use the free Roku mobile app to pump up the volume on your shows without disturbing the house

,
Endless entertainment: Stream what you love, including free TV, live news, sports, and more; Never miss the most talked-about events, award-winning shows, latest blockbuster hits, and more—It’s easy to stream what you love and cut back on cable bills

",https://images-na.ssl-images-amazon.com/images/I/813T5unjeQL._AC_SL1500_.jpg,$49.99,"







Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Voice Remote with TV Controls (updated for 2019)






",https://www.amazon.com/Roku-Streaming-Stick-HDR-Streaming-Long-range/dp/B075XLWML4/ref=sr_1_8?dchild=1&fst=as%3Aoff&qid=1599646123&refinements=p_n_condition-type%3A2224371011&rnid=2224369011&s=electronics&sr=1-8,"New & Used (10) from, ,$49.99,Compare with similar items",4.5 out of 5 stars
